Location,Analysis,Sample type,Host,Rock,Sample name,Na2O,MgO,Al2O3,SiO2,K2O,CaO,TiO2,MnO,FeO tot,Total,Cu
Kamchatka,Portnyagin et al. 2017,,Olivine,Basalt,,,,,57.86,,,,,,,62
Kamchatka,Portnyagin et al. 2017,,Olivine,Basalt,,,,,57.08,,,,,,,39
Kamchatka,Portnyagin et al. 2017,,Olivine,Basalt,,,,,57.03,,,,,,,41
Kamchatka,Portnyagin et al. 2017,,Olivine,Basalt,,,,,57.63,,,,,,,43
Kamchatka,Portnyagin et al. 2017,,Olivine,Basalt,,,,,56.17,,,,,,,49
Kamchatka,Portnyagin et al. 2017,,Olivine,Basalt,,,,,54.22,,,,,,,47
Kamchatka,Portnyagin et al. 2017,,Olivine,Basalt,,,,,57.56,,,,,,,65
Kamchatka,Portnyagin et al. 2017,,Olivine,Basalt,,,,,55,,,,,,,47
Kamchatka,Portnyagin et al. 2017,,Olivine,Basalt,,,,,56.66,,,,,,,63
Kamchatka,Portnyagin et al. 2017,,Olivine,Basalt,,,,,52.81,,,,,,,54
Kamchatka,Portnyagin et al. 2017,,Olivine,Basalt,,,,,54.38,,,,,,,47
Kamchatka,Portnyagin et al. 2017,,Olivine,Basalt,,,,,54.57,,,,,,,59
Kamchatka,Portnyagin et al. 2017,,Olivine,Basalt,,,,,54.59,,,,,,,55
Kamchatka,Portnyagin et al. 2017,,Olivine,Basalt,,,,,54.23,,,,,,,57
Kamchatka,Portnyagin et al. 2017,,Olivine,Basalt,,,,,54.23,,,,,,,42
