,SIO2(WT%),AL2O3(WT%),FEOT(WT%),MGO(WT%),CAO(WT%),NA2O(WT%),K2O(WT%),TIO2(WT%),CR(PPM)
571,47.25,15.12,8.33,12.85,12.29,2.42,0.43,0.92,0
572,47.22,14.63,9.38,14.12,11.15,1.97,0.37,0.88,0
573,47.21,18.38,8.23,9.19,11.6,2.88,1.09,0.87,0
574,47.19,13.67,9.35,14.03,11.83,2.27,0.45,0.9,0
575,47.18,14.55,9.41,14.36,11.04,1.93,0.4,0.86,0
576,47.17,13.42,9.67,14.4,11.58,1.75,0.64,0.96,0
577,47.06,14.74,8.94,12.35,13.16,1.71,0.5,1.07,0
578,47.03,14.0,9.49,13.42,12.29,2.1,0.44,0.94,0
579,46.93,15.55,9.06,12.58,11.91,2.09,0.41,0.99,0
580,46.84,16.82,8.62,11.01,12.18,2.49,0.54,1.01,0
581,46.52,12.97,9.08,14.39,11.62,2.45,1.28,1.1,0
582,46.49,14.87,9.42,14.55,10.96,2.14,0.4,0.89,0
583,46.43,16.71,8.83,12.19,11.45,2.61,0.49,0.81,0
584,46.43,16.71,8.83,12.19,11.45,2.61,0.49,0.81,0
585,46.36,12.62,9.44,14.62,12.34,1.9,1.11,1.14,0
586,46.35,12.62,9.44,14.62,12.34,1.9,1.11,1.15,0
587,46.05,16.07,8.73,11.06,13.63,1.9,1.02,0.96,0
588,46.04,13.46,9.45,13.87,12.7,1.81,1.05,1.17,0
589,45.83,12.73,9.55,15.53,12.5,1.96,0.55,0.93,0
590,45.83,12.73,9.55,15.53,12.5,1.96,0.55,0.93,0
591,45.63,13.5,10.0,14.6,12.78,1.47,0.57,0.88,0
592,45.61,16.25,9.24,10.91,13.04,2.42,0.93,1.04,0
593,45.5,14.67,9.56,12.29,13.26,2.35,0.74,1.09,0
594,45.42,14.43,9.02,13.71,12.85,2.42,0.69,0.92,0
595,45.35,15.75,9.16,13.4,11.87,2.5,0.7,0.91,0
596,45.29,16.71,8.85,11.64,11.81,3.28,0.95,0.96,0
597,45.09,15.46,9.18,14.42,11.48,2.49,0.66,0.83,0
598,44.52,16.56,9.02,11.72,12.09,3.73,0.9,0.98,0
599,48.5,13.91,9.97,11.44,11.31,2.3,1.02,0.99,0
600,48.5,16.84,8.85,11.61,9.54,2.46,0.71,1.02,0
601,49.6,14.99,8.18,12.2,10.52,2.49,0.83,0.83,0
602,50.43,15.17,8.16,11.1,10.37,2.63,0.89,0.86,0
603,50.46,15.25,8.11,11.26,10.42,2.49,0.8,0.85,0
604,51.98,16.76,7.7,8.9,9.42,3.06,0.94,0.86,0
605,50.07,16.16,8.39,9.12,10.37,2.84,1.48,0.93,0
606,49.58,14.85,9.8,10.28,10.35,1.97,1.87,0.82,0
607,49.65,14.99,9.79,10.6,9.94,1.92,1.77,0.84,0
608,50.93,14.41,8.95,10.29,9.95,2.21,2.0,0.81,0
609,53.69,14.69,8.17,9.12,8.13,2.99,2.03,0.72,0
610,49.33,17.62,7.63,9.21,12.27,2.35,0.55,0.72,0
611,49.82,17.47,7.63,9.98,12.0,1.92,0.13,0.85,0
612,49.69,16.67,8.21,10.28,11.57,2.06,0.32,0.97,0
613,49.65,16.51,8.26,10.75,11.51,1.86,0.33,0.89,0
614,49.74,16.44,8.17,10.71,11.59,1.95,0.28,0.88,0
615,50.96,16.39,7.38,9.61,11.21,2.65,0.61,1.02,0
616,50.2,16.32,8.32,8.91,11.46,2.86,0.53,1.11,0
617,49.92,16.31,7.82,10.25,12.45,2.08,0.28,0.81,0
618,50.98,16.25,7.75,10.0,10.78,2.6,0.54,0.94,0
619,51.01,15.8,8.72,9.61,10.54,2.41,0.51,1.13,0
620,51.1,15.77,8.6,9.58,10.55,2.5,0.48,1.12,0
621,50.11,15.71,7.93,10.77,11.87,2.2,0.26,0.89,0
622,50.49,15.51,8.36,11.04,10.71,2.34,0.46,0.95,0
623,51.37,14.94,7.57,10.05,11.48,3.24,0.22,0.92,0
624,51.31,14.65,7.69,11.99,10.52,2.48,0.29,0.86,0
625,50.36,14.51,8.65,10.39,12.05,2.72,0.2,0.9,0
626,49.27,14.39,8.47,13.29,10.96,2.36,0.18,0.86,0
627,49.05,14.03,8.39,14.1,10.99,2.29,0.14,0.82,0
628,50.24,15.85,8.09,10.59,11.36,2.38,0.35,0.93,0
629,49.6,14.61,8.36,12.98,10.8,1.92,0.62,0.82,0
630,49.27,14.24,8.4,13.93,10.66,1.91,0.49,0.8,0
631,53.42,17.92,7.6,8.22,10.1,1.97,0.15,0.43,0
632,53.82,17.23,7.2,9.59,8.68,2.0,0.52,0.57,0
633,53.82,17.23,7.2,9.59,8.68,2.0,0.52,0.57,0
634,52.72,16.19,8.35,10.16,9.16,2.09,0.47,0.56,0
635,52.72,16.19,8.35,10.16,9.16,2.09,0.47,0.56,0
636,53.19,15.41,7.7,10.85,10.1,1.88,0.29,0.43,0
637,55.13,15.34,7.81,9.44,8.52,2.49,0.79,0.33,0
638,55.12,14.89,7.89,9.98,8.68,2.21,0.64,0.38,0
639,55.4,14.34,7.17,10.39,8.9,2.22,1.07,0.33,0
640,56.09,14.06,7.71,10.74,8.41,1.48,1.05,0.28,0
641,58.22,11.29,8.94,12.29,6.27,1.84,0.71,0.22,0
642,57.67,10.64,8.75,14.09,6.13,1.57,0.72,0.22,0
643,48.58,14.69,8.34,10.57,10.42,2.66,2.67,1.15,0
644,48.86,14.9,8.32,10.21,8.63,5.02,1.67,1.13,0
645,49.08,14.31,8.5,10.71,10.35,2.46,2.61,1.11,0
646,49.57,14.91,8.21,9.99,8.42,5.05,1.59,1.11,0
647,50.26,15.1,7.77,11.83,8.44,3.59,1.42,1.01,0
648,50.4,14.14,7.98,10.23,9.49,4.27,1.78,1.05,0
649,50.74,16.55,7.82,8.86,9.33,3.31,1.83,1.1,0
650,50.74,16.55,7.82,8.86,9.33,3.31,1.83,1.1,0
651,50.85,16.07,7.28,9.91,9.2,3.54,1.52,1.01,0
652,50.96,16.21,7.73,8.5,8.8,4.4,1.64,1.02,0
653,50.96,16.21,7.73,8.5,8.8,4.4,1.64,1.02,0
654,50.99,16.8,8.28,8.92,9.05,3.25,1.14,1.2,0
655,50.99,16.8,8.28,8.92,9.05,3.25,1.14,1.2,0
656,51.69,16.23,7.71,9.03,8.8,3.39,1.88,0.79,0
657,50.99,16.8,8.28,8.92,9.05,3.25,1.14,1.2,0
658,51.74,17.28,7.81,9.12,9.01,3.26,0.68,0.84,0
659,51.74,17.28,7.81,9.12,9.01,3.26,0.68,0.84,0
660,51.74,17.28,7.81,9.12,9.01,3.26,0.68,0.84,0
661,51.84,16.13,8.03,10.45,9.23,2.54,0.77,0.74,0
662,51.85,16.08,8.16,8.52,8.61,3.49,1.46,1.31,0
663,63.03,15.7,4.49,5.67,5.37,3.08,1.69,0.72,0
664,62.95,16.23,4.33,5.78,5.11,3.18,1.49,0.68,0
665,62.95,16.23,4.33,5.78,5.11,3.18,1.49,0.68,0
666,61.65,15.37,5.05,5.88,5.35,4.06,1.52,0.82,0
667,58.91,14.55,4.95,6.73,7.43,4.46,1.68,0.89,0
668,59.83,15.8,5.62,6.25,6.26,3.79,1.52,0.68,0
669,58.71,15.65,6.05,7.11,6.21,3.84,1.29,0.85,0
670,52.06,16.81,7.93,9.82,9.52,2.33,0.53,0.76,0
671,52.08,14.78,7.56,9.18,9.03,4.3,1.53,1.0,0
672,52.24,16.5,6.93,8.81,8.91,3.24,2.02,0.81,0
673,52.26,15.28,7.4,8.11,7.53,4.6,2.57,1.23,0
674,52.26,15.28,7.4,8.11,7.53,4.6,2.57,1.23,0
675,52.47,15.18,7.74,11.78,7.94,3.18,0.71,0.72,0
676,52.49,16.82,6.94,9.38,8.5,4.09,0.77,0.73,0
677,53.24,14.9,7.75,9.72,7.71,4.11,0.9,1.21,0
678,59.31,15.58,5.29,6.9,6.39,4.02,1.49,0.73,0
679,58.48,14.87,5.09,6.09,7.78,4.29,1.9,1.0,0
680,57.86,15.53,5.24,7.22,7.22,4.55,1.29,0.79,0
681,58.1,16.03,5.91,6.95,6.23,4.2,1.34,0.91,0
682,59.44,14.85,4.83,6.65,7.42,3.84,1.77,0.92,0
683,58.1,16.03,5.91,6.96,6.23,4.2,1.34,0.92,0
684,58.75,15.3,5.11,6.28,7.9,3.55,1.82,0.91,0
685,58.3,15.53,5.94,6.6,6.49,4.12,1.67,0.94,0
686,58.28,15.79,5.15,7.03,7.24,4.07,1.34,0.82,0
687,57.33,15.86,6.33,7.37,7.01,3.72,1.16,0.9,0
688,57.2,15.12,6.47,8.09,7.32,3.54,1.13,0.83,0
689,57.34,16.19,6.31,6.77,7.0,3.8,1.27,1.0,0
690,57.33,14.97,6.35,8.24,6.98,3.58,1.21,1.01,0
691,57.53,15.92,5.37,7.73,7.25,3.91,1.04,0.96,0
692,57.4,15.82,6.59,7.29,6.7,3.7,1.48,0.69,0
693,57.14,15.67,6.34,7.76,7.06,3.66,1.19,0.89,0
694,56.81,15.47,5.83,7.28,7.25,3.94,2.1,0.86,0
695,55.15,16.05,6.92,7.63,7.1,4.06,1.78,0.85,0
696,56.37,17.06,5.38,6.63,7.31,4.47,1.91,0.61,0
697,55.58,15.95,6.4,7.12,7.25,4.8,1.43,1.0,0
698,56.06,16.45,5.49,7.41,7.07,4.5,2.01,0.66,0
699,55.94,16.25,5.3,7.5,7.03,4.51,2.4,0.72,0
700,55.9,15.95,6.5,8.21,7.21,3.48,1.18,1.22,0
701,56.01,15.68,5.36,7.29,6.89,4.51,2.93,0.86,0
702,55.3,15.89,6.92,7.66,6.93,4.47,1.27,1.15,0
703,55.53,15.58,6.74,9.0,7.48,3.24,1.31,0.81,0
704,54.83,15.19,7.17,9.09,7.68,3.54,1.26,0.85,0
705,55.37,16.86,7.01,7.39,7.1,3.83,1.08,1.03,0
706,54.77,16.12,6.99,8.01,7.3,4.43,1.08,0.96,0
707,54.64,15.49,6.75,9.78,7.69,3.53,1.02,0.81,0
708,54.63,15.36,7.41,8.84,7.36,3.48,1.32,1.2,0
709,54.75,15.84,7.1,9.19,7.92,3.07,1.03,0.82,0
710,54.8,15.58,7.14,9.27,7.83,3.27,0.99,0.8,0
711,54.68,15.33,7.15,9.73,7.83,3.25,0.94,0.8,0
712,54.64,16.26,7.38,7.91,7.13,3.87,1.12,1.29,0
713,54.79,16.07,6.71,8.0,7.5,4.13,1.55,0.87,0
714,54.49,15.98,6.7,7.54,7.84,3.62,2.41,0.9,0
715,54.5,15.56,6.87,9.61,7.78,3.69,0.89,0.79,0
716,53.99,15.47,7.1,7.88,8.05,3.82,2.24,0.89,0
717,54.51,17.12,6.66,8.11,8.11,3.65,0.81,0.71,0
718,54.34,17.17,7.0,8.28,8.28,3.03,0.86,0.79,0
719,55.03,15.27,5.93,6.26,7.69,4.15,3.77,1.02,0
720,53.85,15.75,6.94,9.75,7.68,4.07,0.86,0.79,0
721,54.46,15.71,6.95,9.65,7.67,3.47,0.95,0.84,0
722,54.31,15.4,6.73,8.67,7.86,4.16,1.5,0.94,0
723,54.82,16.36,7.04,7.38,7.06,4.56,1.17,1.19,0
724,53.98,15.76,6.48,7.41,7.76,3.98,3.01,1.01,0
725,53.71,17.15,7.3,7.69,8.04,3.8,0.95,1.01,0
726,53.82,15.69,7.11,9.92,7.98,3.48,0.9,0.82,0
727,53.55,16.89,7.29,8.2,8.37,3.69,0.82,0.89,0
728,53.82,16.72,7.13,8.33,8.35,3.66,0.87,0.82,0
729,53.99,15.64,7.17,9.91,7.74,3.46,0.93,0.86,0
730,52.75,15.95,7.48,8.72,8.26,3.54,1.91,0.88,0
731,52.85,14.27,7.68,9.37,7.34,4.07,2.39,1.06,0
732,53.83,15.46,7.21,10.1,8.08,3.38,0.87,0.8,0
733,53.38,16.19,7.28,9.23,8.41,3.62,0.79,0.79,0
734,53.17,15.94,7.74,8.86,8.17,3.63,1.26,0.86,0
735,53.76,15.39,7.24,10.21,8.05,3.36,0.92,0.8,0
736,53.65,17.08,7.55,8.59,8.08,3.03,0.8,0.92,0
737,54.26,15.43,5.97,7.32,7.74,4.75,2.94,0.97,0
738,53.88,17.26,6.96,8.08,7.87,3.8,0.92,0.9,0
739,53.69,15.7,7.6,8.79,7.91,4.08,0.9,0.97,0
740,53.08,16.18,7.46,9.39,8.44,3.58,0.75,0.83,0
741,53.08,16.02,7.57,10.42,7.43,3.45,0.82,0.88,0
742,52.97,16.25,7.3,8.61,8.48,3.11,1.66,1.09,0
743,53.64,16.36,7.32,8.46,7.19,4.44,0.88,1.27,0
744,53.08,16.96,7.36,8.52,8.39,3.71,0.8,0.89,0
745,53.32,14.56,7.15,8.38,7.91,4.88,1.83,1.15,0
746,52.82,16.41,7.39,9.08,8.63,3.77,0.78,0.82,0
747,53.25,15.19,6.74,9.01,9.11,3.64,1.52,1.01,0
748,52.86,14.87,7.56,10.15,7.37,4.55,0.99,1.22,0
749,52.68,15.02,7.08,9.95,8.92,3.34,1.66,0.77,0
750,52.94,15.76,7.44,10.24,8.15,3.44,0.92,0.83,0
751,52.98,16.45,7.4,9.76,7.62,3.55,1.06,0.88,0
752,53.49,15.08,6.26,7.28,7.72,5.18,3.02,1.15,0
753,52.91,14.93,7.69,10.19,7.91,3.59,1.12,1.23,0
754,52.58,15.09,7.28,9.93,8.8,3.27,1.61,0.85,0
755,52.92,16.9,7.29,9.31,8.5,3.24,0.71,0.81,0
756,52.6,16.6,7.53,9.38,8.54,3.5,0.75,0.82,0
757,52.52,16.75,7.33,9.5,8.82,2.95,0.96,0.82,0
758,46.78,15.11,9.22,11.42,11.98,2.1,1.26,1.49,0
759,46.33,13.04,10.81,13.63,10.31,2.33,0.74,2.13,0
760,46.08,14.71,10.78,12.8,9.88,2.48,1.04,1.64,0
761,46.04,13.41,10.53,14.56,10.09,2.35,0.97,1.54,0
762,46.86,14.51,10.23,12.55,10.55,2.43,0.87,1.36,0
763,46.25,13.91,10.81,13.34,9.76,2.66,1.04,1.61,0
764,44.13,14.0,10.23,14.0,11.03,3.12,1.01,1.64,0
765,44.23,14.11,10.55,14.11,10.62,2.9,1.05,1.68,0
766,44.32,14.39,10.99,14.66,10.07,2.5,0.87,1.48,0
767,44.62,12.98,10.97,15.82,10.1,2.43,0.89,1.61,0
768,45.11,12.52,11.11,14.73,10.65,2.68,0.88,1.56,0
769,45.13,13.7,10.62,14.71,10.79,2.42,0.83,1.31,0
770,45.45,15.55,9.8,10.91,11.36,3.54,1.03,1.46,0
771,45.76,14.78,10.48,12.87,10.99,2.41,0.64,1.45,0
772,46.03,13.92,9.78,14.61,10.31,2.78,0.78,1.19,0
773,46.69,12.82,10.63,15.07,9.95,2.24,0.77,1.24,0
774,46.81,15.1,9.84,11.9,10.68,2.9,0.93,1.32,0
775,47.35,15.75,9.64,11.14,10.08,2.91,1.09,1.4,0
776,47.11,13.8,9.94,13.1,10.87,2.4,1.0,1.24,0
777,55.5,14.39,5.15,6.31,7.45,3.64,5.44,1.17,0
778,56.31,14.89,5.37,5.6,6.7,4.36,4.63,1.27,0
779,56.96,14.83,4.86,5.91,6.53,4.16,4.82,1.05,0
780,50.97,13.45,7.27,9.93,7.68,3.02,4.73,1.62,0
781,50.4,12.99,7.55,9.74,7.84,2.96,5.29,1.79,0
782,50.97,13.45,7.27,9.93,7.68,3.02,4.73,1.62,0
783,50.4,12.99,7.55,9.74,7.84,2.96,5.29,1.79,0
784,50.51,13.03,7.49,9.72,7.82,3.0,5.28,1.67,0
785,51.06,13.26,7.18,9.02,7.68,2.59,5.67,1.88,0
786,51.06,13.26,7.18,9.02,7.68,2.59,5.67,1.88,0
787,51.12,13.2,7.09,8.85,7.63,2.77,5.84,1.87,0
788,51.84,12.64,6.71,9.08,7.76,2.88,5.95,1.74,0
789,51.12,13.2,7.09,8.85,7.63,2.77,5.84,1.87,0
790,52.57,13.8,7.03,8.02,7.51,2.74,5.18,1.62,0
791,52.34,13.15,6.81,9.64,8.34,3.25,4.37,1.24,0
792,52.32,13.74,7.05,7.94,7.84,2.75,5.19,1.63,0
793,50.69,14.21,7.54,9.3,7.66,2.45,4.6,1.84,0
794,50.35,13.68,7.26,9.6,7.56,2.86,5.51,1.63,0
795,51.1,12.65,6.98,9.79,7.34,2.24,6.43,1.73,0
796,51.18,13.73,7.25,8.85,7.92,3.03,4.6,1.79,0
797,51.6,12.58,6.81,9.02,7.85,2.87,6.11,1.73,0
798,50.35,12.75,7.61,10.33,9.05,4.27,2.85,1.52,0
799,49.05,12.64,7.87,11.73,8.98,2.59,4.45,1.38,0
800,49.05,12.64,7.87,11.73,8.98,2.59,4.45,1.38,0
801,49.86,12.81,7.89,11.38,9.09,3.32,3.06,1.36,0
802,49.91,12.53,8.04,10.95,9.22,4.33,2.37,1.42,0
803,50.49,14.56,8.04,8.54,7.88,4.71,2.89,1.36,0
804,51.86,15.18,8.46,9.07,7.6,4.45,1.22,1.57,0
805,49.62,12.66,7.97,11.8,8.71,3.13,3.43,1.4,0
806,50.11,12.89,7.82,11.45,8.8,3.07,3.17,1.33,0
807,51.13,12.14,7.59,10.29,8.64,3.4,3.6,1.65,0
808,50.96,12.23,7.21,11.4,8.22,3.29,3.49,1.64,0
809,49.89,13.62,7.98,9.88,9.15,2.99,3.72,1.61,0
810,50.02,12.98,8.22,12.48,8.62,1.72,3.46,1.46,0
811,47.88,16.19,8.38,9.76,10.97,3.15,1.49,1.61,0
812,47.76,15.78,8.19,10.6,11.5,2.87,1.28,1.48,0
813,47.93,16.01,8.29,10.15,10.93,3.11,1.47,1.55,0
814,48.01,16.03,8.27,10.23,11.03,2.94,1.4,1.52,0
815,48.16,15.9,8.32,10.11,10.82,3.18,1.43,1.53,0
816,48.1,16.06,8.22,9.91,10.99,3.17,1.44,1.54,0
817,47.97,16.16,8.2,9.9,10.98,3.22,1.46,1.53,0
818,47.98,16.06,8.27,10.04,10.97,3.15,1.43,1.54,0
819,48.07,15.96,8.18,10.78,10.48,3.05,1.36,1.55,0
820,51.86,14.26,8.28,12.28,9.83,2.01,0.49,0.72,0
821,50.9,14.12,9.17,12.42,9.8,2.11,0.48,0.73,0
822,51.38,14.19,8.73,12.35,9.81,2.06,0.49,0.73,0
823,52.63,12.79,8.87,13.26,9.68,1.65,0.43,0.47,0
824,52.87,12.85,8.45,13.32,9.72,1.66,0.44,0.48,0
825,55.8,14.44,7.44,9.71,9.2,2.21,0.4,0.56,0
826,55.94,13.26,7.32,10.13,8.96,2.39,1.15,0.63,0
827,55.94,13.26,7.33,10.13,8.96,2.39,1.15,0.63,0
828,55.94,13.26,7.32,10.13,8.96,2.39,1.15,0.63,0
829,56.16,11.9,7.91,11.54,9.52,1.7,0.59,0.42,0
830,56.32,12.17,8.17,10.67,9.05,2.25,0.72,0.44,0
831,56.54,13.29,7.33,9.57,8.59,2.68,1.18,0.59,0
832,49.34,14.83,8.53,12.05,13.06,1.38,0.18,0.42,0
833,49.35,14.83,8.79,12.13,12.81,1.25,0.19,0.44,0
834,49.39,15.08,8.51,11.73,13.22,1.25,0.18,0.42,0
835,49.43,17.09,7.83,11.37,10.59,2.63,0.25,0.62,0
836,50.53,17.08,7.52,10.68,10.53,2.6,0.23,0.64,0
837,50.59,16.77,8.5,10.3,10.21,2.65,0.15,0.6,0
838,50.72,16.57,7.87,10.68,10.82,2.27,0.17,0.58,0
839,50.86,16.32,8.07,10.66,10.7,2.25,0.23,0.58,0
840,50.95,15.91,8.4,11.42,9.56,2.68,0.18,0.59,0
841,51.11,17.21,7.86,9.6,10.2,2.68,0.5,0.64,0
842,51.25,16.41,7.68,10.73,10.69,2.26,0.2,0.58,0
843,51.26,16.34,7.49,10.73,10.86,2.27,0.25,0.59,0
844,51.33,17.31,7.49,9.8,10.72,2.33,0.23,0.62,0
845,54.09,15.2,7.88,10.87,6.52,4.17,0.47,0.56,0
846,52.27,15.19,8.58,12.29,7.37,2.95,0.54,0.59,0
847,51.48,17.39,7.45,9.84,10.45,2.38,0.23,0.62,0
848,51.32,14.24,8.99,11.15,10.35,2.13,0.72,0.85,0
849,56.42,14.1,6.98,8.14,8.66,3.11,1.35,0.93,0
850,50.9,16.62,8.01,9.07,11.57,2.35,0.06,1.16,0
851,47.18,16.4,9.39,11.55,10.82,2.95,0.34,1.0,0
852,47.62,16.23,9.5,11.01,10.42,3.21,0.46,1.16,0
853,48.2,15.5,9.55,10.2,10.79,3.62,0.49,1.31,0
854,49.22,17.55,8.01,10.49,9.42,3.3,0.51,1.01,0
855,49.35,15.98,8.64,9.85,10.15,3.72,0.61,1.26,0
856,49.56,15.52,8.66,10.95,9.85,3.28,0.58,1.15,0
857,49.63,16.01,9.06,9.06,10.2,4.0,0.49,1.09,0
858,50.52,15.92,8.16,11.3,10.69,2.24,0.31,0.7,0
859,51.18,16.26,8.64,8.9,10.26,2.9,0.4,1.19,0
860,47.99,15.96,9.33,11.82,11.52,1.83,0.74,0.44,0
861,48.36,15.95,8.06,12.8,11.58,1.72,0.7,0.47,0
862,48.4,16.23,7.88,12.28,11.77,1.89,0.73,0.46,0
863,48.4,16.78,8.42,10.85,12.18,1.83,0.7,0.47,0
864,48.59,16.33,8.02,11.62,11.92,1.94,0.72,0.48,0
865,48.73,9.01,11.49,17.15,10.59,1.37,0.79,0.43,0
866,48.75,13.1,9.25,14.83,10.76,1.81,0.55,0.61,0
867,48.96,11.57,10.22,13.73,11.71,1.56,1.16,0.69,0
868,49.17,9.96,10.43,15.95,10.06,2.09,1.37,0.48,0
869,49.25,10.26,11.2,14.93,10.46,1.78,1.13,0.53,0
870,49.42,11.39,12.26,12.2,10.58,1.91,1.24,0.51,0
871,49.59,12.22,9.81,13.62,10.72,1.9,1.12,0.57,0
872,50.04,11.52,11.32,13.24,9.98,1.81,1.03,0.61,0
873,50.45,11.62,10.02,14.06,9.77,2.03,0.96,0.69,0
874,50.59,15.42,8.54,9.53,11.63,2.04,1.31,0.58,0
875,50.78,14.29,9.66,10.74,9.97,2.26,1.07,0.82,0
876,50.86,11.83,9.64,13.14,10.52,1.99,1.01,0.61,0
877,53.64,15.4,8.39,9.08,8.62,2.87,0.9,0.7,0
878,51.85,11.61,8.32,11.9,8.14,1.75,4.81,0.86,0
879,49.43,11.88,9.63,10.32,11.01,1.56,3.83,1.11,0
880,53.69,13.01,7.45,8.18,7.49,1.77,6.07,1.04,0
881,58.95,15.21,6.09,6.82,6.52,2.39,3.01,0.64,0
882,51.15,16.68,8.96,9.25,10.16,2.53,0.09,0.98,0
884,48.4,15.71,9.2,11.51,11.52,2.21,0.37,0.82,0
885,48.45,16.12,8.97,11.24,11.24,2.39,0.4,0.99,0
886,48.8,15.8,9.54,10.67,11.17,2.41,0.4,1.01,0
887,48.81,15.81,9.4,10.86,11.6,1.97,0.37,0.86,0
888,49.03,15.1,8.58,12.53,11.6,1.94,0.29,0.7,0
889,49.17,15.48,9.15,11.1,11.39,2.31,0.32,0.8,0
890,49.19,15.33,9.13,11.22,11.32,2.2,0.5,0.9,0
891,49.22,15.85,9.18,11.07,11.09,2.07,0.36,0.84,0
892,49.23,15.98,9.0,10.89,11.31,2.21,0.34,0.8,0
893,49.31,15.73,8.94,11.06,11.38,2.18,0.35,0.81,0
894,49.32,16.11,8.96,10.63,11.2,2.35,0.35,0.81,0
895,49.32,16.12,8.83,10.41,11.68,2.25,0.33,0.8,0
896,49.38,15.91,8.95,10.81,11.37,2.17,0.34,0.82,0
897,49.38,15.62,9.1,10.88,11.29,2.22,0.3,1.01,0
898,49.5,15.66,8.96,11.24,11.11,2.06,0.34,0.83,0
899,49.57,16.96,7.92,11.07,10.87,2.34,0.27,0.75,0
900,49.69,16.37,8.97,9.99,11.29,2.23,0.36,0.83,0
901,49.7,16.74,7.92,11.02,10.92,2.41,0.31,0.75,0
902,49.81,14.97,9.07,11.28,11.18,2.3,0.4,0.8,0
903,50.05,15.78,8.44,11.46,10.75,2.31,0.24,0.74,0
904,43.67,12.33,9.44,14.69,11.03,2.06,4.81,0.98,0
905,44.48,11.84,8.91,10.64,14.74,1.72,5.22,0.98,0
906,45.17,13.62,9.39,10.39,13.27,2.6,3.1,1.26,0
907,46.32,12.68,8.94,13.12,11.42,2.07,3.59,1.06,0
908,47.16,11.29,7.9,12.46,12.17,2.07,5.51,0.68,0
909,47.58,12.34,8.24,10.31,11.3,2.61,5.62,0.72,0
910,48.29,11.86,8.2,9.64,11.88,2.41,6.05,0.8,0
912,48.82,11.05,9.35,13.66,10.94,2.33,2.57,0.58,0
913,48.95,11.1,9.35,14.91,10.02,1.83,2.62,0.56,0
914,49.02,11.4,9.34,14.3,10.04,1.95,2.67,0.59,0
915,49.12,11.63,9.54,13.98,11.35,2.13,1.14,0.54,0
916,49.12,11.28,9.38,14.57,9.85,1.96,2.59,0.58,0
917,49.26,11.56,9.2,13.57,10.23,1.92,2.92,0.57,0
918,49.35,13.11,9.64,12.01,9.07,1.92,3.47,0.68,0
919,49.39,13.24,8.8,12.84,9.48,3.32,1.46,0.62,0
920,49.47,14.09,9.29,10.76,10.1,2.12,2.7,0.72,0
921,49.47,12.73,9.76,10.81,12.16,2.02,1.96,0.58,0
922,50.82,10.39,9.37,14.13,10.18,2.23,1.88,0.58,0
923,52.42,11.12,9.54,14.87,9.99,1.41,0.2,0.21,0
924,53.22,11.45,9.1,13.37,8.85,2.66,0.93,0.24,0
925,54.14,11.29,9.86,14.02,9.42,0.77,0.09,0.22,0
926,54.54,11.43,9.3,13.34,9.53,1.09,0.34,0.22,0
927,55.17,10.94,10.0,12.14,9.24,1.48,0.48,0.31,0
928,55.39,10.85,9.87,12.05,9.36,1.48,0.48,0.29,0
929,55.77,10.79,8.67,13.87,8.88,1.33,0.22,0.22,0
930,48.31,16.99,8.91,10.06,11.9,2.48,0.05,1.13,0
931,48.44,17.02,8.98,10.24,11.54,2.4,0.02,1.16,0
932,46.62,15.74,9.56,10.68,10.49,2.88,1.02,2.28,0
933,47.59,16.05,9.6,10.57,9.4,3.6,0.73,1.86,0
934,46.79,15.77,9.41,10.83,10.36,3.02,1.39,1.86,0
935,46.2,15.33,9.34,11.91,11.18,2.62,0.97,1.83,0
936,47.95,15.97,9.19,10.21,9.58,3.17,1.52,1.82,0
937,46.84,14.53,10.01,11.92,10.88,2.42,1.09,1.66,0
938,47.12,11.51,10.59,15.01,11.94,2.07,0.61,0.75,0
939,47.12,11.51,10.58,15.01,11.94,2.06,0.61,0.75,0
940,47.54,10.95,10.1,16.17,11.19,1.39,1.53,0.58,0
941,47.73,10.84,10.25,15.81,11.44,1.42,1.42,0.59,0
942,48.14,11.27,10.15,15.73,11.24,1.65,0.9,0.54,0
943,48.15,11.35,10.23,15.07,11.11,1.87,1.2,0.6,0
944,48.18,11.46,10.36,14.99,11.27,1.68,1.05,0.6,0
945,48.33,11.52,10.09,14.84,11.61,1.78,0.91,0.56,0
946,48.35,11.42,10.39,16.39,9.88,1.72,0.86,0.62,0
947,48.55,12.78,10.36,13.14,11.14,1.86,1.11,0.65,0
948,48.55,12.33,10.08,13.64,11.33,1.8,1.2,0.65,0
949,48.63,12.81,10.33,12.29,12.06,1.88,0.91,0.71,0
950,48.67,11.79,10.1,14.42,10.74,2.01,1.24,0.61,0
951,49.03,13.1,9.89,12.7,11.56,1.89,0.84,0.59,0
952,49.04,13.52,10.01,11.1,11.67,2.35,1.18,0.74,0
953,49.12,13.53,9.44,12.79,11.4,1.96,0.75,0.69,0
954,49.16,14.06,9.03,12.24,11.91,1.99,0.63,0.62,0
955,49.26,13.86,10.14,10.84,11.29,2.15,1.29,0.7,0
956,49.29,14.3,9.54,12.04,10.79,2.17,0.84,0.73,0
957,49.45,13.39,10.09,10.55,12.26,2.22,1.01,0.66,0
958,49.49,13.5,10.08,10.71,11.43,2.42,1.26,0.72,0
