,SIO2(WT%),AL2O3(WT%),FEOT(WT%),MGO(WT%),CAO(WT%),NA2O(WT%),K2O(WT%),TIO2(WT%),CR(PPM)
294,50.24,15.14,9.37,11.05,10.82,2.06,0.42,0.67,0
295,50.39,15.22,9.38,10.71,10.91,2.06,0.42,0.68,0
296,50.46,15.23,9.19,11.64,10.23,2.19,0.24,0.61,0
297,51.27,14.15,8.22,12.6,10.62,1.8,0.58,0.5,0
298,51.77,13.76,9.45,11.89,10.12,1.79,0.46,0.53,0
299,52.03,14.66,8.37,10.7,10.78,2.0,0.7,0.53,0
300,48.94,16.23,8.84,11.37,10.87,2.08,0.49,0.89,0
301,49.08,15.66,9.19,12.79,9.78,2.17,0.41,0.63,0
302,49.5,14.38,9.07,13.35,9.9,2.18,0.4,0.91,0
303,49.5,13.83,9.32,13.48,9.89,2.21,0.45,0.99,0
304,49.7,14.01,9.12,13.39,9.67,2.26,0.55,0.99,0
305,49.71,13.91,9.15,12.75,10.43,2.28,0.48,0.96,0
306,49.91,14.09,9.19,12.93,9.79,2.31,0.48,0.97,0
307,50.15,14.05,9.05,13.16,9.51,2.27,0.56,0.95,0
308,50.19,14.36,9.07,12.68,9.82,2.23,0.45,0.91,0
309,50.36,14.56,8.86,12.85,9.52,2.17,0.46,0.91,0
310,51.17,14.49,9.27,9.88,10.49,2.6,0.83,0.98,0
311,51.47,15.09,9.47,10.13,10.62,1.68,0.44,0.81,0
312,51.49,14.19,8.76,12.28,9.73,1.93,0.65,0.69,0
313,51.54,13.69,8.5,12.66,9.26,2.58,0.46,1.04,0
314,51.7,14.54,8.97,9.55,10.51,2.6,0.85,0.98,0
315,51.74,15.97,7.75,10.7,9.58,2.55,0.58,0.82,0
316,51.83,15.95,7.86,10.44,9.71,2.47,0.56,0.87,0
317,51.83,15.27,7.85,11.41,9.8,2.31,0.42,0.82,0
318,48.93,16.75,8.61,9.6,10.84,2.01,1.56,1.19,0
319,48.96,15.25,8.62,11.86,10.78,1.99,1.21,0.83,0
320,49.17,15.17,8.6,11.57,11.06,1.87,1.19,0.85,0
321,49.18,15.13,8.69,11.81,10.75,1.87,1.2,0.86,0
322,49.23,16.37,8.59,9.96,10.93,1.99,1.58,0.87,0
323,49.25,14.76,8.51,12.57,10.48,1.88,1.22,0.83,0
324,49.29,16.26,8.59,9.9,10.99,2.04,1.56,0.9,0
325,49.69,16.85,8.38,8.7,10.59,2.21,1.56,1.45,0
326,48.29,16.05,9.52,10.62,10.68,2.26,0.84,1.28,0
327,49.17,15.28,9.61,10.51,9.58,2.91,1.07,1.42,0
328,49.18,15.24,8.17,11.07,9.44,3.38,1.45,1.28,0
329,49.33,15.21,9.4,11.24,9.81,2.56,0.73,1.27,0
330,49.5,16.08,7.6,9.25,10.02,2.86,2.45,1.29,0
331,49.61,15.72,8.9,9.62,10.01,2.77,1.31,1.55,0
332,49.65,14.9,9.32,11.96,8.87,2.61,1.22,1.03,0
333,49.97,16.62,8.47,9.81,9.23,3.22,1.04,1.23,0
334,50.05,16.77,8.46,9.3,10.57,1.92,1.25,1.19,0
335,50.06,15.57,8.4,10.45,10.04,2.8,1.11,1.11,0
336,50.09,15.48,7.19,9.48,10.16,3.33,2.22,1.3,0
337,50.3,15.28,8.56,10.19,10.1,2.86,1.1,1.11,0
338,50.35,16.3,8.38,9.42,9.42,3.31,1.08,1.33,0
339,50.53,15.26,9.38,9.76,8.99,2.99,1.15,1.31,0
340,50.61,16.34,8.31,9.71,9.15,3.39,0.92,1.16,0
341,50.68,16.47,8.39,9.5,9.1,3.3,0.95,1.19,0
342,50.69,16.49,8.52,8.75,9.35,3.26,1.13,1.36,0
343,50.7,16.42,8.24,9.65,9.02,3.1,1.15,1.29,0
344,50.79,14.5,9.77,10.73,9.37,2.46,0.74,1.24,0
345,50.8,14.66,8.96,11.14,9.42,2.65,1.02,0.98,0
346,50.81,16.55,8.46,8.8,9.13,3.35,1.12,1.34,0
